Disaster Type,Country,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Storm,Philippines,Asia,2023,2023,39,171,5385066,5385237,284256,284256
Storm,Taiwan (Province of China),Asia,2023,2023,1,68,,68,10000,10000
Flood,Canada,Americas,2023,2023,4,,450,450,,
Storm,Switzerland,Europe,2023,2023,2,40,15000,15040,,
Storm,Germany,Europe,2023,2023,1,,,,,
Storm,Italy,Europe,2023,2023,2,,,,100000,100000
Storm,Romania,Europe,2023,2023,2,,,,,
Storm,Serbia,Europe,2023,2023,1,,,,,
Wildfire,Algeria,Africa,2023,2023,34,26,30000,30026,,
Epidemic,Bangladesh,Asia,2023,2023,127,,,,,
Flood,Cameroon,Africa,2023,2023,2,5,93255,93260,,
Flood,India,Asia,2023,2023,23,,,,,
Storm,Russian Federation,Europe,2023,2023,10,76,,76,,
Flood,Viet Nam,Asia,2023,2023,7,,1730,2175,,
Storm,Japan,Asia,2023,2023,2,41,,41,,
Storm,Republic of Korea,Asia,2023,2023,2,,,,,
Storm,Russian Federation,Europe,2023,2023,3,,13200,13200,,
Flood,Lao People's Democratic Republic,Asia,2023,2023,7,,110129,110129,7719,7719
Flood,Slovenia,Europe,2023,2023,,,1500120,1500120,,
Flood,China,Asia,2023,2023,51,,600000,600000,,
Wildfire,Portugal,Europe,2023,2023,,35,1400,1435,,
Flood,Mongolia,Asia,2023,2023,4,,1230,1230,,
Flood,Bangladesh,Asia,2023,2023,4,6,1000000,1000006,,
Flood,China,Asia,2023,2023,14,,134000,134000,,
Flood,Myanmar,Asia,2023,2023,5,,48000,48000,,
Flood,Viet Nam,Asia,2023,2023,15,8,214527,214535,,
Mass movement (wet),Georgia,Asia,2023,2023,18,,,,,
Earthquake,China,Asia,2023,2023,,21,,399,35000,35000
Wildfire,United States of America,Americas,2023,2023,128,,7695,7695,5500000,5500000
Storm,Japan,Asia,2023,2023,,66,600,666,,
Storm,China,Asia,2023,2023,5,18,849,867,,
Wildfire,France,Europe,2023,2023,,51,90,141,,
Mass movement (wet),Myanmar,Asia,2023,2023,39,,,,,
Wildfire,United States of America,Americas,2023,2023,2,1,720,802,,
Wildfire,Greece,Europe,2023,2023,20,,,,200000,200000
Flood,Chile,Americas,2023,2023,3,,32000,32000,1100000,1100000
Flood,Pakistan,Asia,2023,2023,16,,,,,
Mass movement (wet),India,Asia,2023,2023,10,,605,605,,
Mass movement (wet),India,Asia,2023,2023,26,2,,2,,
Flood,China,Asia,2023,2023,27,,,,,
Storm,Dominican Republic,Americas,2023,2023,3,,289083,289083,,
Epidemic,Congo,Africa,2023,2023,52,1752,84240,85992,,
Storm,Cuba,Americas,2023,2023,,,,,,
Storm,United States of America,Americas,2023,2023,5,,,,3500000,3500000
Storm,China,Asia,2023,2023,1,2,,2,690000,690000
Storm,"China, Hong Kong Special Administrative Region",Asia,2023,2023,,86,,86,,
Storm,Philippines,Asia,2023,2023,4,3,900000,900003,33000,33000
Flood,Tajikistan,Asia,2023,2023,21,,,,,
Flood,Pakistan,Asia,2023,2023,6,101,89500,89601,,
Epidemic,Kyrgyzstan,Asia,2023,2023,,3618,,3618,,
Flood,Guinea,Africa,2023,2023,8,937,24135,25072,,
Flood,Mauritania,Africa,2023,2023,1,,7200,7200,,
Flood,Algeria,Africa,2023,2023,8,218,1450,1668,,
Flood,Spain,Europe,2023,2023,3,,6000,6000,370000,370000
Flood,Bulgaria,Europe,2023,2023,4,,4000,4000,,
Flood,Greece,Europe,2023,2023,17,,5260,5260,,
Flood,Türkiye,Asia,2023,2023,8,31,,31,,
Earthquake,Morocco,Africa,2023,2023,2946,5674,840000,845674,7000000,7000000
Flood,Indonesia,Asia,2023,2023,,,14500,14500,,
Storm,Argentina,Americas,2023,2023,,,6000,6000,,
Storm,Brazil,Americas,2023,2023,46,924,341000,341924,705000,705000
Storm,India,Asia,2023,2023,12,14,1060,1074,,
Storm,Japan,Asia,2023,2023,3,,3600,3600,,
Storm,Libya,Africa,2023,2023,12352,,1600000,1600000,6200000,6200000
Flood,China,Asia,2023,2023,,,,,,
Flood,"China, Hong Kong Special Administrative Region",Asia,2023,2023,,119,,119,,
Flood,South Africa,Africa,2023,2023,11,,5000,5000,,
