Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Cameroon,Sub-Saharan Africa,Africa,2023,2023,2,5,93255,93260,,
Hydrological,Flood,Flood (General),India,Southern Asia,Asia,2023,2023,23,,,,,
Meteorological,Storm,Storm (General),Russian Federation,Eastern Europe,Europe,2023,2023,10,76,,76,,
Hydrological,Flood,Flood (General),Viet Nam,South-eastern Asia,Asia,2023,2023,7,,1730,2175,,
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,2023,2023,2,41,,41,,
Meteorological,Storm,Tropical cyclone,Republic of Korea,Eastern Asia,Asia,2023,2023,2,,,,,
Meteorological,Storm,Tropical cyclone,Russian Federation,Eastern Europe,Europe,2023,2023,3,,13200,13200,,
Hydrological,Flood,Flood (General),Lao People's Democratic Republic,South-eastern Asia,Asia,2023,2023,7,,110129,110129,7719,7719
Hydrological,Flood,Flood (General),Slovenia,Southern Europe,Europe,2023,2023,,,1500120,1500120,,
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,2023,2023,51,,600000,600000,,
Climatological,Wildfire,Wildfire (General),Portugal,Southern Europe,Europe,2023,2023,,35,1400,1435,,
Hydrological,Flood,Flash flood,Mongolia,Eastern Asia,Asia,2023,2023,4,,1230,1230,,
Hydrological,Flood,Flash flood,Bangladesh,Southern Asia,Asia,2023,2023,4,6,1000000,1000006,,
Hydrological,Flood,Flood (General),China,Eastern Asia,Asia,2023,2023,14,,134000,134000,,
Hydrological,Flood,Flood (General),Myanmar,South-eastern Asia,Asia,2023,2023,5,,48000,48000,,
Hydrological,Flood,Flash flood,Viet Nam,South-eastern Asia,Asia,2023,2023,15,8,214527,214535,,
