Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flash flood,China,Eastern Asia,Asia,Shenzhen,Heavy rains,,Km2,2023,2023,,,,,,
Hydrological,Flood,Flash flood,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,Km2,2023,2023,,119,,119,,
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,Western Cape province,Heavy rains,,Km2,2023,2023,11,,5000,5000,,
Meteorological,Storm,Storm (General),Greece,Southern Europe,Europe,"Volos (Magnésie, Eubée Isl.); Fthiotida department; Thessaly and Sterea; Epirus and Kastoria",,,Kph,2023,2023,,,250,250,,
Climatological,Glacial lake outburst flood,Glacial lake outburst flood,India,Southern Asia,Asia,"Sikkim state Gangtok, Mangan and Pakyong (Bengal state)",,,,2023,2023,178,,88400,88400,,
Meteorological,Storm,Tropical cyclone,China,Eastern Asia,Asia,"Guangdong, Fujian Provinces",,,Kph,2023,2023,,,,,,
Meteorological,Storm,Tropical cyclone,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,Kph,2023,2023,,,,,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,"Luzon, Batanes and the Babuyan Islands",,,Kph,2023,2023,,,275,275,,
Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,Asia,"Taichung, Tainan and Kaohsiung",,191,Kph,2023,2023,1,190,,190,,
Hydrological,Flood,Flood (General),Myanmar,South-eastern Asia,Asia,"Pegou region; Bago and Yangon, and Mon State.",Heavy rains,,Km2,2023,2023,5,35,27300,27335,,
Hydrological,Mass movement (wet),Landslide (wet),Cameroon,Sub-Saharan Africa,Africa,Mbankolo area (Yaoundé),Heavy rains,,,2023,2023,27,,2000,2000,,
Hydrological,Flood,Flood (General),Viet Nam,South-eastern Asia,Asia,"Yen Bai, Thai Nguyen et Tuyen Quang provinces",Heavy rains,,Km2,2023,2023,2,,1900,1900,,
Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,Herat region,,5.4,Moment Magnitude,2023,2023,2445,9240,560000,569240,,
Hydrological,Flood,Flash flood,Mexico,Latin America and the Caribbean,Americas,Autlan (Jalisco state),Heavy rains,,Km2,2023,2023,11,,,,,
Hydrological,Flood,Flood (General),United States of America,Northern America,Americas,"New York city; New Jersey, Connecticut, Texas, Oklahoma, and Arkansas",Heavy rains and storms,,Km2,2023,2023,,,,,,
