Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Meteorological,Storm,Tropical cyclone,Mexico,Latin America and the Caribbean,Americas,Acapulco (central Guerrero State),0,270.0,Kph,2023,2023,104.0,0.0,988000.0,988000.0,12000000.0,12000000.0
Meteorological,Storm,Tropical cyclone,Solomon Islands,Melanesia,Oceania,0,0,0.0,Kph,2023,2023,0.0,0.0,22319.0,22319.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Vanuatu,Melanesia,Oceania,"Penama, Malampa, Sanma, Shefa and Torba Provinces; Pentecost Island (Penama Province)",0,205.0,Kph,2023,2023,0.0,0.0,91000.0,91000.0,0.0,0.0
Hydrological,Flood,Flood (General),Somalia,Sub-Saharan Africa,Africa,"Baidoa, Jowhar, and Luuq","Heavy rains, El Nino",0.0,Km2,2023,2023,4.0,0.0,278000.0,278000.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Yemen,Western Asia,Asia,"Hadramout, Shabwa, Al-Mahara, Al Mahrah, Socotra Governorates",0,0.0,Kph,2023,2023,7.0,150.0,90000.0,90150.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,Cox's Bazar district,0,110.0,Kph,2023,2023,3.0,0.0,1500000.0,1500000.0,250000.0,250000.0
Hydrological,Flood,Flood (General),Ghana,Sub-Saharan Africa,Africa,"South, Central, and North Tongu Districts (Volta region)",0,0.0,Km2,2023,2023,0.0,7.0,40857.0,40864.0,0.0,0.0
Hydrological,Flood,Flood (General),Nigeria,Sub-Saharan Africa,Africa," Fufore, Demsa, Shelleng (Adamawa State)",Heavy rains,0.0,Km2,2023,2023,275.0,0.0,30000.0,30000.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,Honduras,Latin America and the Caribbean,Americas,0,0,0.0,Kph,2023,2023,1.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Tropical cyclone,El Salvador,Latin America and the Caribbean,Americas,0,0,0.0,Kph,2023,2023,3.0,0.0,500.0,500.0,0.0,0.0
Biological,Epidemic,Bacterial disease,Zimbabwe,Sub-Saharan Africa,Africa,"Buhera, Chegutu, Chikomba, Chimanimani, Chipinge, Chitungwiza, Chiredzi, Harare, Gokwe North, Marondera, Mazowe, Shamva, Mutare, Murehwa, Mwenezi, Seke and Wedza; Manicaland, Matabeleland South; Masvingo",0,0.0,0,2023,2024,719.0,4217.0,0.0,4217.0,0.0,0.0
Biological,Epidemic,Viral disease,Costa Rica,Latin America and the Caribbean,Americas,"Alajuela, Heredia, Limon, Puntarenas",0,0.0,Vaccinated,2023,2023,0.0,14403.0,0.0,14403.0,0.0,0.0
Hydrological,Flood,Flood (General),Kenya,Sub-Saharan Africa,Africa,"Tana River, Garissa, Wajir, Mandera, Marsabit, Isiolo, Meru, Samburu","Heavy rains, El Nino",0.0,Km2,2023,2024,406.0,242.0,695255.0,695497.0,0.0,0.0
Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,Jajarkot and Rukum Districts of Karnali Province,0,5.7,Moment Magnitude,2023,2023,154.0,366.0,300000.0,300366.0,100000.0,100000.0
Meteorological,Storm,Extra-tropical storm,Belgium,Western Europe,Europe,0,0,0.0,Kph,2023,2023,2.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Germany,Western Europe,Europe,0,0,0.0,Kph,2023,2023,1.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Spain,Southern Europe,Europe,0,0,0.0,Kph,2023,2023,1.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,France,Western Europe,Europe,"Finistère, Côtes-d'Armor, Manche, Morbihan",0,207.0,Kph,2023,2023,2.0,16.0,0.0,16.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,0,0,150.0,Kph,2023,2023,0.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Italy,Southern Europe,Europe,"Prato, Fucecchio, Pontedera, Quarrata, Montemurlo, and Orentano (Tuscany); Veneto, Liguria and Emilia-Romagna Regions",0,0.0,Kph,2023,2023,8.0,0.0,1200.0,1200.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Netherlands (Kingdom of the),Western Europe,Europe,0,0,0.0,Kph,2023,2023,1.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,Spain,Southern Europe,Europe,Valdezcaray (La Rioja); Estaca de Bares (A Coruña); Cabo Busto (Asturias),0,203.0,Kph,2023,2023,0.0,0.0,0.0,0.0,0.0,0.0
Meteorological,Storm,Extra-tropical storm,France,Western Europe,Europe,"Deux-Sèvres, Charente-Maritime, Charentes Departments ( Nouvelle-Aquitain Region); Isère Department (Auvergne-Rhône-Alpes Region); Pas de Calais",0,151.0,Kph,2023,2023,0.0,50.0,0.0,517050.0,0.0,0.0
Climatological,Wildfire,Wildfire (General),Spain,Southern Europe,Europe,Montitxelvo municipality (Valencia),0,0.0,Km2,2023,2023,0.0,0.0,800.0,800.0,0.0,0.0
Hydrological,Flood,Flash flood,Ethiopia,Sub-Saharan Africa,Africa," Somali Region, Afar, Oromia, SNNP, Gambela","Heavy rains, El Nino",0.0,Km2,2023,2023,60.0,0.0,1500000.0,1500000.0,0.0,0.0
Hydrological,Flood,Flood (General),Malaysia,South-eastern Asia,Asia,"Selangor, Perak, and Pahang states",Heavy rains,0.0,Km2,2023,2023,0.0,0.0,881.0,881.0,0.0,0.0
Meteorological,Storm,Severe weather,Honduras,Latin America and the Caribbean,Americas,"Atlántida, Colón, Cortés, Gracias a Dios, Islas de la Bahía, Santa Bárbara, Yoro, Olancho and Alianza Municipality in Valle Department",0,0.0,Kph,2023,2023,4.0,0.0,46658.0,46658.0,0.0,0.0
Meteorological,Storm,Severe weather,Sri Lanka,Southern Asia,Asia,"Kurunegala, Kandy, Anuradhapura, Puttalam, Ratnapura Districts",0,0.0,Kph,2023,2023,8.0,0.0,34800.0,34800.0,0.0,0.0
Hydrological,Flood,Flood (General),Belgium,Western Europe,Europe,"Westhoerk, Kachtem, and Wevelgem (West Flanders)",Heavy rains,50.0,Km2,2023,2023,0.0,0.0,3000.0,3000.0,0.0,0.0
Hydrological,Flood,Flood (General),France,Western Europe,Europe,"Pas-de-Calais Department, Hauts-de-France Region",Heavy rains,30.0,Km2,2023,2023,0.0,0.0,3500.0,3500.0,1650000.0,1650000.0
Geophysical,Earthquake,Ground movement,Philippines,South-eastern Asia,Asia,"Luzon Strait (near Calayan Island, southern Babuyan Islands)",0,6.2,Moment Magnitude,2023,2023,0.0,5.0,175.0,180.0,0.0,0.0
Hydrological,Flood,Flood (General),Somalia,Sub-Saharan Africa,Africa,"Bay, Ged, Bakool, South West, Hirshabelle, Jubaland, Galmudug, Belet Weyne, Balcad, Awdal, Bari, Mudug, Nugaal, Togdheer, Woqooyi Galbeed ",El Nino; Deyr Rainy Season,0.0,Km2,2023,2023,118.0,0.0,2480000.0,2480000.0,0.0,0.0
Meteorological,Storm,Blizzard/Winter storm,Mongolia,Eastern Asia,Asia,"Arhangai, Bayanhongor, Bayan-Ölgii, Bulgan, Dornod, Dornogovi, Dundgovi, Govi-Altai, Khentii, Khovd, Khövsgöl, Ömnögovi, Orkhon, Övörkhangai, Selenge, Sükhbaatar, Töv, Ulaanbaatar, Uvs, Zavkhan",0,0.0,Kph,2023,2024,8.0,0.0,669367.0,669367.0,0.0,0.0
Meteorological,Storm,Severe weather,Brazil,Latin America and the Caribbean,Americas,"Porto Alegre (Rio Grande do Sul); Balneário Camboriú, Camboriú, and Blumenau (Santa Catarina State)",0,0.0,Kph,2023,2023,1.0,0.0,300.0,300.0,235000.0,235000.0
Geophysical,Earthquake,Ground movement,Iceland,Northern Europe,Europe,Grindavik (Reykjanes peninsula),0,0.0,Moment Magnitude,2023,2023,0.0,0.0,3665.0,3665.0,75000.0,75000.0
Hydrological,Flood,Flood (General),Paraguay,Latin America and the Caribbean,Americas,"Alto Paranà, Itapua, Misiones, Neembucu",Heavy rains,0.0,Km2,2023,2023,6.0,19.0,7656.0,7675.0,0.0,0.0
Meteorological,Storm,Severe weather,Viet Nam,South-eastern Asia,Asia,"Quang Tri, Thua Thien Hue and Ha Tinh Provinces ",0,0.0,Kph,2023,2023,5.0,0.0,80000.0,80000.0,0.0,0.0
